symmetry_Int_Tables_number,space_group_IT_number,space_group_H_M,space_group_crystal_system,symmetry_cell_setting
1,1,P1,triclinic,triclinic
2,2,P-1,triclinic,triclinic
3,3,P2,monoclinic,monoclinic
4,4,P21,monoclinic,monoclinic
5,5,C2,monoclinic,monoclinic
6,6,Pm,monoclinic,monoclinic
7,7,Pc,monoclinic,monoclinic
8,8,Cm,monoclinic,monoclinic
9,9,Cc,monoclinic,monoclinic
10,10,P2/m,monoclinic,monoclinic
11,11,P21/m,monoclinic,monoclinic
12,12,C2/m,monoclinic,monoclinic
13,13,P2/c,monoclinic,monoclinic
14,14,P21/c,monoclinic,monoclinic
15,15,C2/c,monoclinic,monoclinic
16,16,P222,orthorhombic,orthorhombic
17,17,P2221,orthorhombic,orthorhombic
18,18,P21212,orthorhombic,orthorhombic
19,19,P212121,orthorhombic,orthorhombic
20,20,C2221,orthorhombic,orthorhombic
21,21,C222,orthorhombic,orthorhombic
22,22,F222,orthorhombic,orthorhombic
23,23,I222,orthorhombic,orthorhombic
24,24,I212121,orthorhombic,orthorhombic
25,25,Pmm2,orthorhombic,orthorhombic
26,26,Pmc21,orthorhombic,orthorhombic
27,27,Pcc2,orthorhombic,orthorhombic
28,28,Pma2,orthorhombic,orthorhombic
29,29,Pca21,orthorhombic,orthorhombic
30,30,Pnc2,orthorhombic,orthorhombic
31,31,Pmn21,orthorhombic,orthorhombic
32,32,Pba2,orthorhombic,orthorhombic
33,33,Pna21,orthorhombic,orthorhombic
34,34,Pnn2,orthorhombic,orthorhombic
35,35,Cmm2,orthorhombic,orthorhombic
36,36,Cmc21,orthorhombic,orthorhombic
37,37,Ccc2,orthorhombic,orthorhombic
38,38,Amm2,orthorhombic,orthorhombic
39,39,Aem2,orthorhombic,orthorhombic
40,40,Ama2,orthorhombic,orthorhombic
41,41,Aea2,orthorhombic,orthorhombic
42,42,Fmm2,orthorhombic,orthorhombic
43,43,Fdd2,orthorhombic,orthorhombic
44,44,Imm2,orthorhombic,orthorhombic
45,45,Iba2,orthorhombic,orthorhombic
46,46,Ima2,orthorhombic,orthorhombic
47,47,Pmmm,orthorhombic,orthorhombic
48,48,Pnnn,orthorhombic,orthorhombic
49,49,Pccm,orthorhombic,orthorhombic
50,50,Pban,orthorhombic,orthorhombic
51,51,Pmma,orthorhombic,orthorhombic
52,52,Pnna,orthorhombic,orthorhombic
53,53,Pmna,orthorhombic,orthorhombic
54,54,Pcca,orthorhombic,orthorhombic
55,55,Pbam,orthorhombic,orthorhombic
56,56,Pccn,orthorhombic,orthorhombic
57,57,Pbcm,orthorhombic,orthorhombic
58,58,Pnnm,orthorhombic,orthorhombic
59,59,Pmmn,orthorhombic,orthorhombic
60,60,Pbcn,orthorhombic,orthorhombic
61,61,Pbca,orthorhombic,orthorhombic
62,62,Pnma,orthorhombic,orthorhombic
63,63,Cmcm,orthorhombic,orthorhombic
64,64,Cmce,orthorhombic,orthorhombic
65,65,Cmmm,orthorhombic,orthorhombic
66,66,Cccm,orthorhombic,orthorhombic
67,67,Cmme,orthorhombic,orthorhombic
68,68,Ccce,orthorhombic,orthorhombic
69,69,Fmmm,orthorhombic,orthorhombic
70,70,Fddd,orthorhombic,orthorhombic
71,71,Immm,orthorhombic,orthorhombic
72,72,Ibam,orthorhombic,orthorhombic
73,73,Ibca,orthorhombic,orthorhombic
74,74,Imma,orthorhombic,orthorhombic
75,75,P4,tetragonal,tetragonal
76,76,P41,tetragonal,tetragonal
77,77,P42,tetragonal,tetragonal
78,78,P43,tetragonal,tetragonal
79,79,I4,tetragonal,tetragonal
80,80,I41,tetragonal,tetragonal
81,81,P-4,tetragonal,tetragonal
82,82,I-4,tetragonal,tetragonal
83,83,P4/m,tetragonal,tetragonal
84,84,P42/m,tetragonal,tetragonal
85,85,P4/n,tetragonal,tetragonal
86,86,P42/n,tetragonal,tetragonal
87,87,I4/m,tetragonal,tetragonal
88,88,I41/a,tetragonal,tetragonal
89,89,P422,tetragonal,tetragonal
90,90,P4212,tetragonal,tetragonal
